Series Name,Series Code,Country Name,Country Code,1990 [YR1990],2000 [YR2000],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020]
GDP (current US$),NY.GDP.MKTP.CD,Early-demographic dividend,EAR,1819322596299.39,3310687184969.08,9613820765240.14,10081635886117.6,10259814437389.4,10620471211777,10311638541292.5,10550444704869.4,11399719349294.5,11645984950915.1,11989867025219.9,..
GDP (current US$),NY.GDP.MKTP.CD,East Asia & Pacific,EAS,4736015998425.77,8297737596565.15,19687376400049.3,21072075411804.3,21318560290646.4,22002182897791.7,21911638600129.5,22658589044442.6,24222685964338.3,26351346134237.6,26924664688093.8,..
GDP (current US$),NY.GDP.MKTP.CD,East Asia & Pacific (excluding high income),EAP,662879649054.753,1737749129261.34,9620273762794.09,10727640354235.6,11835629991510.1,12761629787232.4,13294602254117.5,13575794190520.2,14835961478596.2,16594146987960.9,17151686026915.6,..
GDP (current US$),NY.GDP.MKTP.CD,East Asia & Pacific (IDA & IBRD countries),TEA,661517291876.855,1734177689101.71,9601739619657.9,10706984951239.6,11812889074004.2,12737160518776.3,13269125320570.9,13549821527676.3,14807652296163.7,16562482144146.1,17118925821623.1,..
GDP (current US$),NY.GDP.MKTP.CD,Euro area,EMU,5882985731385.23,6479499625836.77,13623185516340.3,12639557374481.5,13190250310518,13490553822082.7,11668482860489.5,11967164887075.7,12671044522003.4,13686889517984.1,13356063677260.5,..
GDP (current US$),NY.GDP.MKTP.CD,Europe & Central Asia,ECS,8853717201319.76,10032230959415,23249955211795,22412505450270.7,23421005051887.5,23738526473026,20450302716605.9,20388826551162.9,21610837008711.6,23145668465857.4,22792819661712.7,..
GDP (current US$),NY.GDP.MKTP.CD,Europe & Central Asia (excluding high income),ECA,894075442146.677,662443215872.783,3660261685135.84,3904070673139.4,4139016998710.19,3841761017808.3,2916638590939.38,2773218419978.23,3114811233223.44,3192144799381.43,3248461689441.89,..
GDP (current US$),NY.GDP.MKTP.CD,Europe & Central Asia (IDA & IBRD countries),TEC,1020717699700.85,893549607696.722,4434427545701.15,4629810866328.25,4909028677073.55,4641837066255.72,3621705460711.79,3485578750338.62,3908497177205.46,4082389169975.06,4155157371202.28,..
GDP (current US$),NY.GDP.MKTP.CD,European Union,EUU,6500670912427.15,7259892617357.25,15744157300202.9,14636296706794.8,15293400915549.8,15632613367402.2,13545081361696.3,13886845315710.6,14758432346844.8,15965026482630.7,15626448476438.3,..
GDP (current US$),NY.GDP.MKTP.CD,Fragile and conflict affected situations,FCS,259628018818.402,412071314412.559,1453117436183.71,1678806401944.62,1763713251391.59,1923217210047.71,1726905458298.13,1550706828001.58,1569590877815.66,1698248056693.35,1778456492418.56,..
GDP (current US$),NY.GDP.MKTP.CD,Heavily indebted poor countries (HIPC),HPC,137680149511.279,169208402098.375,546434357935.128,580700670678.415,647872456883.35,683129004022.834,676805764502.929,669728831074.018,713187205161.613,759123536838.027,783061756161.729,..
GDP (current US$),NY.GDP.MKTP.CD,High income,HIC,18965140036042.7,27650770374936.5,49211742295134.1,49262520032118.8,49886888092442.6,50986874848795,48169284431931.2,49181225871698.4,51468319156973.6,54656884279246.1,55140634994666.1,..
GDP (current US$),NY.GDP.MKTP.CD,IBRD only,IBD,3458053916106.51,5811794725423.67,23645033386793.8,25140839772231,26561030339655.5,27475647429348,25950065325005.5,26153434029171.9,28864183920440.6,30807716110874.3,31538957028550.6,..
GDP (current US$),NY.GDP.MKTP.CD,IDA & IBRD total,IBT,3796906925093.55,6282095000587.45,25307796387400.4,26931505224687.8,28527413148525.7,29578253145897.4,28039830398545.9,28183036024025.6,30964942653522.8,33032316632670.9,33852003085093.1,..
GDP (current US$),NY.GDP.MKTP.CD,IDA blend,IDB,145134846992.331,206220309154.059,804396356884.61,889578509972.167,965837023753.578,1036701798768.23,999758125096.092,931080758172.088,922589446187.657,964268064192.791,991547520067.22,..
GDP (current US$),NY.GDP.MKTP.CD,IDA only,IDX,196272296598.423,265070796314.102,853829332625.355,895130563808.954,998443037641.442,1066194850212.59,1095337766619.45,1105541093456.11,1185503744780.45,1268823087329.56,1331970889524.39,..
GDP (current US$),NY.GDP.MKTP.CD,IDA total,IDA,342195618186.132,472835273132.422,1664987161326.89,1794078345206.92,1973428801628.54,2112917151582.24,2102314112248.17,2039741254149.59,2107387269941.84,2231098324742.68,2320313648145.49,..
